CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010488014","19","019","0001","0488","014",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"159791"
"1901900010488013","19","019","0001","0488","013",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0488","13","193","91","102","15","10","5","178","81","97","172","78","94","142","63","79","136","62","74","127","59","68","15","9","6","21","9","12","22","7","15","6",*,"5","9","3","6","29","8","21","46","11","5","6","112.09","57","129","7","38","38","37","37","38","0","0","1.41","5.08","193","38","22","11","17","33","24","5","10","0","4","11","0","5119"
"1901900010488012","19","019","0001","0488","012",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0488","12","88","40","48","10",*,"8","78","38","40","72","37","35","62","32","30","61","32","29","57","28","29","7",*,"6","9","5","4","5",*,"3",*,"0",*,"4","4","0","18","11","7","24","12","7","5","120","27","51","10","17","15","16","14","15",*,"0","1.33","5.87","88","15","11","4","5","11","9","4",*,"0","4","6","0","3375"
"1901900010577054","19","019","0001","0577","054",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0577","54","60","32","28","5",*,"3","55","30","25","54","29","25","49","28","21","47","28","19","44","26","18",*,*,"0","5",*,"4","3","0","3",*,"0",*,"3",*,*,"10","8",*,"25","3",*,*,"87.5","13","44","3","20","18","19","17","18",*,"0","0.53","3.33","60","18","11","16","15","18","18","13","17","0","0","0","0","2769"
"1901900010331028","19","019","0001","0331","028",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1398"
"1901900010312023","19","019","0001","0312","023",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11670"
"1901900010331017","19","019","0001","0331","017",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0331","17","120","56","64","5","3",*,"115","53","62","114","53","61","108","51","57","105","50","55","101","48","53",*,"0",*,"6",*,"4","8",*,"6","3",*,*,"4",*,*,"16","8","8","33","14","7","7","114.29","15","97","8","31","29","30","28","29",*,"0","0.9","4.14","120","26","24","20","20","28","21","12","10",*,"0","7","0","3139"
"1901900010327017","19","019","0001","0327","017",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","17","179","89","90","9","6","3","170","83","87","168","82","86","154","74","80","143","69","74","138","67","71","4","3",*,"12","6","6","17","7","10","11","5","6","5",*,"3","15","7","8","35","41","24","17","101.12","36","122","21","46","45","45","44","45","0",*,"0.82","3.98","179","45","41","23","38","43","39","24","21","0","0","5","0","6377"
"1901900010327016","19","019","0001","0327","016",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13004"
"1901900010327015","19","019","0001","0327","015",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","15","145","72","73","3",*,*,"142","71","71","139","69","70","124","63","61","118","61","57","113","58","55","7","4","3","11","4","7","13","6","7","6",*,"4","5","3",*,"9","3","6","28","42","22","20","101.39","27","94","24","45","39","44","38","39","6","0","0.76","3.72","145","39","32","25","30","36","30","18","18","0",*,"6","0","4938"
"1901900010327014","19","019","0001","0327","014",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","14","176","86","90","4","3",*,"172","83","89","166","78","88","155","75","80","152","74","78","143","70","73","7","6",*,"10",*,"8","9","3","6","3",*,*,"9","4","5","18","7","11","34","38","23","15","104.65","24","133","19","49","49","49","49","49","0","0","0.91","3.59","176","48","23","14","34","44","35","15","8","0",*,"12","0","5149"
"1901900010327013","19","019","0001","0327","013",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","13","185","90","95","7",*,"5","178","88","90","173","85","88","151","73","78","148","73","75","142","69","73","9","4","5","18","11","7","18","8","10","3","0","3","6","4",*,"20","11","9","37","36","15","21","105.56","37","127","21","47","47","46","46","47","0","0","0.83","3.94","185","46","30","26","37","43","38","24","16","0",*,"4","0","5347"
