POBTOT,area,join_SHAPE_AREA,UNION,NOMBRE_PARQUE,join_SECTOR,distance
62,1345,704.1336795,6,PARQUE LAS MITRAS,K1,8.36E-05
186,4373,7632.968569,1102,PARQUE SAN PEDRO 400,K1,6.66E-05
122,2818,10023.98069,228,POLIDEPORTIVO REVOLUCIÓN,K1,0.000141048
137,3647,704.1336795,6,PARQUE LAS MITRAS,K1,0.000567581
,1750,1366.943833,11,PARQUE LA HORMIGA,K1,0
134,5210,73.30084686,389,,,0.000115961
141,4593,9417.941249,1267,,,0.000109907
128,4138,17532.11898,1268,,,8.24E-05
111,4022,17532.11898,1268,,,8.22E-05
,158001,1328.445993,246,JESUS M. GARZA,K1,0.000452952
478,613390,3632.029901,1380,,,0
,1934,1493.555576,14,PARQUE PONIENTE VERDE,K1,0
167,5285,5450.964902,23,PARQUE BUGAMBILIAS,K1,8.19E-05
419,12308,7826.263496,1295,,,6.16E-05
117,4149,111.2300928,1292,,,9.02E-05
,23291,50322.55289,81,PARQUE RESPLANDOR,K1,0
254,6367,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,1.00E-04
303,7559,10023.98069,228,POLIDEPORTIVO REVOLUCIÓN,K1,9.75E-05
297,7069,3955.916602,98,PARQUE VISTA MONTAÑA,K1,8.28E-05
282,7605,3955.916602,98,PARQUE VISTA MONTAÑA,K1,6.93E-05
81,2824,129.9874076,1121,,,7.14E-05
51,3484,19.51998417,181,,,0
345,16809,88.88029746,20,,,0
90,3512,129.9874076,1121,,,7.95E-05
19,4294,1591.489109,1113,UNIDAD SAN PEDRO,K1,0.002626201
,1745,1591.489109,1113,UNIDAD SAN PEDRO,K1,0.003011475
,484,1328.445993,246,JESUS M. GARZA,K1,9.41E-05
,3790,1328.445993,246,JESUS M. GARZA,K1,0
325,152105,107.1339393,1379,,,0
60,2773,924.0066608,250,LUÍS ECHEVERRÍA EN CORREGIDORA Y FRANCISCO VILLA,K1,6.12E-05
170,9387,1583.54265,270,LUCIO BLANCO EN PLAN DEL RÍO,K1,0
,14396,2785.882422,464,PARQUE FRATERNIDAD,K1,0
,20207,9042.753381,1065,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
169,6408,1328.445993,246,JESUS M. GARZA,K1,0.000496909
5,10306,1107.127025,1359,JESÚS M. GARZA EN MORONES PRIETO,K1,0
53,3210,1263.405226,1361,,,0
144,2612,37.2097799,1368,,,0
,6021,5450.964902,23,PARQUE BUGAMBILIAS,K1,0
,4991,2911.188025,127,PARQUE LOS GIRASOLES,K1,0
18,13405,562.1801228,126,PARQUE PONIENTE VERDE,K1,0
49,1643,1493.555576,14,PARQUE PONIENTE VERDE,K1,5.31E-05
,10382,50322.55289,81,PARQUE RESPLANDOR,K1,3.14E-05
174,4521,2790.44629,298,PARQUE SEDESOL (CAÑADA ),K1,8.78E-05
144,4055,5450.964902,23,PARQUE BUGAMBILIAS,K1,0.000958719
161,4255,2277.374625,1297,,,0.000111889
153,4784,4610.711127,306,PARQUE SAN EVARISTO,K1,0.00071166
310,8900,580.9568012,378,,,3.65E-05
334,10692,580.9568012,378,,,5.64E-05
333,9748,6812.165988,1293,PARQUE RESPLANDOR,K1,7.30E-05
143,4191,15203.51994,1067,PARQUE LA FUERZA,K1,0.000499484
164,5458,15203.51994,1067,PARQUE LA FUERZA,K1,0
422,12335,50322.55289,81,PARQUE RESPLANDOR,K1,0.000210456
,6676,9325.785405,9,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
71,1479,15203.51994,1067,PARQUE LA FUERZA,K1,0.00037699
117,4319,11678.8478,1272,PARQUE LA RETAMA,K1,9.51E-05
151,5735,11678.8478,1272,PARQUE LA RETAMA,K1,5.13E-05
72,2561,60.74493628,379,,,7.38E-05
,11159,11678.8478,1272,PARQUE LA RETAMA,K1,0
177,7002,11678.8478,1272,PARQUE LA RETAMA,K1,6.47E-05
66,3003,194.1912336,382,,,5.83E-05
52,2510,58.61771415,383,,,0.000442523
37,1473,194.1912336,382,,,0.000729446
66,2006,43372.71985,7,PARQUE LOS ROSALES,K1,8.28E-05
99,2081,187.8535625,1191,,,9.38E-05
37,1295,4678.436508,1194,,,6.96E-05
136,4227,4678.436508,1194,,,7.04E-05
135,3715,4678.436508,1194,,,6.16E-05
195,5435,187.8535625,1191,,,9.79E-05
94,2839,187.8535625,1191,,,0
176,6549,580.9568012,378,,,4.37E-05
,5388,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
80,1756,1293.145036,133,,,9.90E-05
71,2610,1293.145036,133,,,0.00012853
77,3826,146.2320014,132,,,0.000101173
125,3186,1773.782595,135,,,6.65E-05
231,5573,17532.11898,1268,,,0.000101751
151,3963,9208.371921,1291,,,0.001360597
155,4121,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.001246345
