SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
201.546635528,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"156",,,,,,,
148.39445543,EA,ESPACIO ABIERTO,CAMELLON,"157",,,,,,,
115.535329783,EA,ESPACIO ABIERTO,CAMELLON,"158",,,,,,,
55.2266805833,EA,ESPACIO ABIERTO,CAMELLON,"159",,,,,,,
92.4064415282,EA,ESPACIO ABIERTO,CAMELLON,"160",,,,,,,
125.541777587,EA,ESPACIO ABIERTO,CAMELLON,"161",,,,,,,
52.771900894,EA,ESPACIO ABIERTO,CAMELLON,"162",,,,,,,
116.563648219,EA,ESPACIO ABIERTO,CAMELLON,"163",,,,,,,
150.785473907,EA,ESPACIO ABIERTO,CAMELLON,"164",,,,,,,
115.114813335,EA,ESPACIO ABIERTO,CAMELLON,"165",,,,,,,
97.8882794296,EA,ESPACIO ABIERTO,CAMELLON,"166",,,,,,,
46.9995331732,EA,ESPACIO ABIERTO,CAMELLON,"167",,,,,,,
140.215367143,EA,ESPACIO ABIERTO,CAMELLON,"168",,,,,,,
221.319440418,EA,ESPACIO ABIERTO,CAMELLON,"169",,,,,,,
32.917407492,EA,ESPACIO ABIERTO,ROTONDA,"170",,,,,,,
124.35087773,EA,ESPACIO ABIERTO,CAMELLON,"171",,,,,,,
152.846659943,EA,ESPACIO ABIERTO,CAMELLON,"172",,,,,,,
63.2024585409,EA,ESPACIO ABIERTO,CAMELLON,"173",,,,,,,
1659.21503154,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"174",,,,,,,
3032.98539036,EA,ESPACIO ABIERTO,PARQUE,"175",,,,,,,
181.625587883,EA,ESPACIO ABIERTO,CAMELLON,"176",,,,,,,
352.050308547,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"177",,,,,,,
167.368981585,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"178",,,,,,,
7939.74220472,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"179",,,,,,,
7891.23650689,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"180",,,,,,,
19.5199841688,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"181",,,,,,,
499.106219732,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"182",,,,,,,
202.447169478,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"183",,,,,,,
2743.31951991,EA,ESPACIO ABIERTO,PARQUE,"184",,,,,,,
6629.60366802,EA,ESPACIO ABIERTO,PARQUE,"185",,,,,,,
8628.87851524,EA,ESPACIO ABIERTO,PARQUE,"186",,,,,,,
63.246170892,EA,ESPACIO ABIERTO,PARQUE,"187",,,,,,,
14896.7025007,EA,ESPACIO ABIERTO,PARQUE,"188",PARQUE SAN EVARISTO,"COLONIA VILLAS DEL OBISPO , CALLE LANDON  Y SAN EVARISTO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
68.9299225891,BU,BALDIO URBANO,BALDIO URBANO,"189",,,,,,,
613.347489043,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"190",,,,,,,
1256.39113555,EA,ESPACIO ABIERTO,PARQUE,"191",,,,,,,
2260.27998847,EA,ESPACIO ABIERTO,PARQUE,"192",,,,,,,
797.501725678,EA,ESPACIO ABIERTO,PARQUE,"193",,,,,,,
5096.01783762,EA,ESPACIO ABIERTO,PARQUE,"194",,,,,,,
194.347974256,EA,ESPACIO ABIERTO,PARQUE,"195",,,,,,,
24066.9516128,EA,ESPACIO ABIERTO,PARQUE,"196",,,,,,,
495.102577006,HU,HABITACIONAL UNIFAMILIAR,HABITACIONAL UNIFAMILIAR,"197",,,,,,,
24120.7109632,EA,ESPACIO ABIERTO,PARQUE,"198",,,,,,,
1176.81108433,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"199",,,,,,,
45.6947819284,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"200",,,,,,,
3357.76790044,EA,ESPACIO ABIERTO,PARQUE,"201",,,,,,,
163.544736772,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"202",,,,,,,
242.351068709,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"203",,,,,,,
13782.3152333,EA,ESPACIO ABIERTO,PARQUE,"204",,,,,,,
10282.310534,EA,ESPACIO ABIERTO,PARQUE,"205",,,,,,,
1438.14211323,EA,ESPACIO ABIERTO,PARQUE,"206",,,,,,,
12423.9645899,EA,ESPACIO ABIERTO,PARQUE,"207",,,,,,,
13883.621722,EA,ESPACIO ABIERTO,PARQUE,"208",,,,,,,
15623.6900286,EA,ESPACIO ABIERTO,PARQUE,"209",,,,,,,
76.7536966799,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"210",,,,,,,
306.354693908,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"211",,,,,,,
130.595076877,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"212",,,,,,,
6939.28688136,EA,ESPACIO ABIERTO,PARQUE,"213",,,,,,,
78.0788801605,EA,ESPACIO ABIERTO,CAMELLON,"214",,,,,,,
156.389894302,EA,ESPACIO ABIERTO,CAMELLON,"215",,,,,,,
555.775383612,EA,ESPACIO ABIERTO,PARQUE,"216",,,,,,,
230.003180275,EA,ESPACIO ABIERTO,PARQUE,"217",,,,,,,
357.529787663,EA,ESPACIO ABIERTO,PARQUE,"218",,,,,,,
42.7855011175,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"219",,,,,,,
37.0905174742,EA,ESPACIO ABIERTO,PARQUE,"220",,,,,,,
103.24170989,EA,ESPACIO ABIERTO,PARQUE,"221",,,,,,,
214.465669108,EA,ESPACIO ABIERTO,PARQUE,"222",,,,,,,
27.5832593688,EA,ESPACIO ABIERTO,PARQUE,"223",,,,,,,
754.619962397,EA,ESPACIO ABIERTO,CAMELLON,"224",,,,,,,
100777.481082,EA,ESPACIO ABIERTO,PARQUE,"225",,,,,,,
112.756727797,EA,ESPACIO ABIERTO,CAMELLON,"226",,,,,,,
10206.8797172,EA,ESPACIO ABIERTO,PARQUE,"227",,,,,,,
10023.9806925,EA,ESPACIO ABIERTO,PARQUE Y CANCHAS,"228",POLIDEPORTIVO REVOLUCIÓN,COLONIA REVOUCION 4º PLATINO ORIENTE Y RODOLFO GAYTAN,K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
