id,nom_estab,codigo_act,join_UNION,join_NOMBRE_PARQUE,tipo_servicio
6367257,RESIDENCIAS UNIVERSIDAD DE MONTERREY,721111,244,JESÚS M. GARZA EN MORONES PRIETO,hotel
3019186,PUESTO DE TACOS SIN NOMBRE,722514,11,PARQUE LA HORMIGA,restaurante
7564162,VENTA DE HAMBURGUESAS BURRITOS TACOS TORTAS SIN NOMBRE,722517,11,PARQUE LA HORMIGA,restaurante
2992789,CERRAJERIA LA PASADA,811191,368,PARQUE DE BOLSILLO LUCIO BLANCO 3er SECTOR,automotriz
7564112,VENTA DE BARBACOA Y MENUDO,722513,1272,PARQUE LA RETAMA,restaurante
8633443,VENTA DE BARBACOA Y MENUDO,722513,12,PARQUE LOS CIPRESES,restaurante
3019796,CAPILLA NUESTRA SEEORA DE LOS DOLORES,813210,246,JESUS M. GARZA,religiosos
2992728,CAPILLA NUESTRA SErORA DEL REFUGIO,813210,16,LUÍS ECHEVERRÍA EN CORREGIDORA Y FRANCISCO VILLA,religiosos
6795617,UDEM_38256,722515,1359,JESÚS M. GARZA EN MORONES PRIETO,abarrotes
3019336,TAQUERIA SIBERIANA,722513,278,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
7564054,TAQUERIA LA DOaITA,722514,229,POLIDEPORTIVO REVOLUCIÓN,restaurante
7564048,LOMO PLATEADO,812110,11,PARQUE LA HORMIGA,servicios miscelaneos
8461944,ESTETICA SIN NOMBRE,812110,1063,PARQUE EL POZO,servicios miscelaneos
3018883,ESTETICA UNISEX,812110,10,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
3019128,ESTETICA UNISEX,812110,98,PARQUE VISTA MONTAÑA,servicios miscelaneos
2992717,ESTETICA CARMEN,812110,10,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
7564098,ESTETICA SIN NOMBRE,812110,229,POLIDEPORTIVO REVOLUCIÓN,servicios miscelaneos
7564049,LIDIA GUERRA MAKEUP ARTISTRY,812110,11,PARQUE LA HORMIGA,servicios miscelaneos
2992802,TALLER AUTOMOTRIZ SEYCE,811121,246,JESUS M. GARZA,automotriz
6215265,PAMELA SALON DE BELLEZA,812110,1272,PARQUE LA RETAMA,servicios miscelaneos
8626147,PC SONIC,811219,12,PARQUE LOS CIPRESES,automotriz
3019252,MOFLES CHAVA,811119,9,ÁREA DEP. MANUEL J. CLOUTHIER,automotriz
7564044,SONIDOS Y ALARMAS,811199,1103,PARQUE LA AMISTAD ORIENTE,automotriz
7564171,REPARACION DE LAVADORAS SIN NOMBRE,811410,9,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
7564110,REPARACION DE LAVADORAS,811410,98,PARQUE VISTA MONTAÑA,servicios miscelaneos
8688825,SILVIA NAILS,812110,12,PARQUE LOS CIPRESES,servicios miscelaneos
2990128,NAOMI NAILS,812110,9,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
2990102,VULKA SIN NOMBRE,811191,11,PARQUE LA HORMIGA,automotriz
7564109,TALLER MECANICO,811111,98,PARQUE VISTA MONTAÑA,automotriz
3019256,TEMPLO LA HERMOSA,813210,10,ÁREA DEP. MANUEL J. CLOUTHIER,religiosos
3019260,DIRECCION DE REGISTRO CIVIL OFICIALIA 5,931210,10,ÁREA DEP. MANUEL J. CLOUTHIER,publico
2992730,TALLER MECANICO SOLIS,811111,253,LUCIO BLANCO 1er SECTOR,automotriz
2990104,CENTRO PREVENTIVO EN ADICCIONES Y VIOLENCIA CASETA DE VIGILANCIA D.A.R.E,931410,125,PARQUE VISTA DE LA MONTAÑA,publico
8688819,THE BARBER SHOP 11.11,812110,9,ÁREA DEP. MANUEL J. CLOUTHIER,servicios miscelaneos
3019172,TEMPLO CUESTA DEL CALVARIO,813210,1063,PARQUE EL POZO,religiosos
